,0
0,10
1,10 min
2,10 minute
3,10 minute walk
4,10 minutes
5,100
6,11
7,12
8,15
9,15 minutes
10,20
11,20 minutes
12,24
13,25
14,30
15,30 minutes
16,40
17,5th
18,aber
19,able
20,absolutely
21,ac
22,access
23,access subway
24,accessible
25,accommodate
26,accommodated
27,accommodating
28,accommodation
29,accommodations
30,accueil
31,accurate
32,actually
33,added
34,adorable
35,adults
36,advertised
37,advice
38,affordable
39,agreable
40,air
41,air bnb
42,air conditioning
43,airbnb
44,airbnb experience
45,airport
46,al
47,alex
48,alles
49,allowed
50,amable
51,amazing
52,amazing host
53,amazing location
54,amenities
55,amy
56,andrew
57,anfitrion
58,anna
59,answer
60,answer questions
61,answered
62,answered questions
63,anthony
64,anytime
65,apartamento
66,apartment
67,apartment beautiful
68,apartment clean
69,apartment clean comfortable
70,apartment close
71,apartment comfortable
72,apartment exactly
73,apartment good
74,apartment great
75,apartment great location
76,apartment just
77,apartment located
78,apartment location
79,apartment lovely
80,apartment nice
81,apartment perfect
82,apartment really
83,apartment spacious
84,apartment super
85,apartments
86,appartamento
87,appartement
88,appartement est
89,appartment
90,appointed
91,appreciate
92,appreciated
93,apt
94,area
95,area great
96,areas
97,arrival
98,arrival automated
99,arrival automated posting
100,arrive
101,arrived
102,arrivee
103,arriving
104,art
105,ask
106,asked
107,astoria
108,atmosphere
109,attention
110,attentive
111,attractions
112,au
113,auch
114,auf
115,automated
116,automated posting
117,aux
118,available
119,ave
120,avec
121,avenue
122,avons
123,avons passe
124,aware
125,away
126,away home
127,away subway
128,awesome
129,awesome host
130,backyard
131,bad
132,bags
133,balcony
134,bar
135,barrio
136,bars
137,bars restaurants
138,base
139,basement
140,basic
141,bath
142,bathroom
143,bathroom clean
144,bathrooms
145,beat
146,beaucoup
147,beautiful
148,beautiful apartment
149,beautifully
150,bed
151,bed comfortable
152,bed comfy
153,bed super
154,bedford
155,bedroom
156,bedrooms
157,beds
158,beds comfortable
159,bei
160,ben
161,best
162,best airbnb
163,better
164,bien
165,bien situe
166,big
167,bigger
168,bit
169,block
170,block away
171,blocks
172,blocks away
173,blocks subway
174,bnb
175,bon
176,bonus
177,book
178,booked
179,booking
180,books
181,bother
182,bottle
183,boyfriend
184,breakfast
185,breeze
186,brian
187,bridge
188,bright
189,bring
190,broadway
191,brooklyn
192,brownstone
193,budget
194,buena
195,building
196,bus
197,buses
198,bushwick
199,business
200,busy
201,cafe
202,cafes
203,cafes restaurants
204,called
205,calm
206,calme
207,cama
208,came
209,canceled
210,canceled reservation
211,canceled reservation days
212,car
213,care
214,caring
215,casa
216,case
217,cat
218,cats
219,ce
220,center
221,central
222,central park
223,centrally
224,centrally located
225,centre
226,cerca
227,certainly
228,cet
229,chambre
230,chance
231,change
232,charming
233,chat
234,che
235,cheap
236,check
237,check check
238,check easy
239,check process
240,check time
241,checked
242,checking
243,checkout
244,chelsea
245,chez
246,children
247,chinatown
248,choice
249,choose
250,chris
251,city
252,clean
253,clean apartment
254,clean bed
255,clean comfortable
256,clean cozy
257,clean great
258,clean nice
259,clean place
260,clean quiet
